"","fips","Total_water_use","heads","lb","COMMODITY_DESC","CLASS_DESC","UNIT_DESC","SHORT_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME"
"129","49019",4714.52899662473,2849,2304697.5,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","019","GRAND"
"130","49021",27652.0705737956,20827,13517714.7,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","021","IRON"
"131","49023",13745.3215710341,10244,6719400.45,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","023","JUAB"
"132","49025",9477.44111690703,6339,4633047.09,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","025","KANE"
"133","49027",40490.304265112,29146,19793685.24,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","027","MILLARD"
"134","49029",6522.5664927892,4305,3188556.63,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","029","MORGAN"
"135","49031",13121.8142374962,7947,6414598.89,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","031","PIUTE"
"136","49033",29985.109358699,23355,14658220.71,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","033","RICH"
"137","49037",13361.2980055232,8629,6531670.53,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","037","SAN JUAN"
"138","49039",56376.5291193618,37708,27559666.26,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","49","UT","UTAH","039","SANPETE"
"139","49041",71304.0379257441,50198,34856978.94,"CATTLE","CALVES","HEAD","CATTLE, CALVES - SALES, MEASURED IN HEAD","49","UT","UTAH","041","SEVIER"
"140","49043",22350.8689782142,13811,10926222.3,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","043","SUMMIT"
"141","49045",18244.2020251611,11948,8918678.16,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","49","UT","UTAH","045","TOOELE"
"142","49047",40407.215403498,27346,19753067.25,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","047","UINTAH"
"143","49049",37477.615526235,32036,18320932.35,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","49","UT","UTAH","049","UTAH"
"144","49051",323.215710340595,209,158004,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","49","UT","UTAH","051","WASATCH"
"145","49053",17743.2692236882,12376,8673797.16,"CATTLE","ALL CLASSES","HEAD","CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD","49","UT","UTAH","053","WASHINGTON"
"146","49055",13539.2470696533,8531,6618660.93,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","055","WAYNE"
"147","49057",10911.6708806382,8075,5334170.31,"CATTLE","GE 500 LBS","HEAD","CATTLE, GE 500 LBS - SALES, MEASURED IN HEAD","49","UT","UTAH","057","WEBER"
"148","04001",30.9582,189,0,"CHICKENS","ROOSTERS","HEAD","CHICKENS, ROOSTERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","001","APACHE"
"149","04003",1082.0628,6606,0,"CHICKENS","PULLETS, REPLACEMENT","HEAD","CHICKENS, PULLETS, REPLACEMENT - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","003","COCHISE"
"150","04005",33.0876,202,0,"CHICKENS","LAYERS","HEAD","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","005","COCONINO"
"151","04007",25.2252,154,0,"CHICKENS","LAYERS","HEAD","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","007","GILA"
"152","04009",22.2768,136,0,"CHICKENS","LAYERS","HEAD","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","009","GRAHAM"
"153","04011",12.7764,78,0,"CHICKENS","LAYERS","HEAD","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","011","GREENLEE"
"154","04013",281.782639644063,1941,747.84,"CHICKENS","BROILERS","HEAD","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","013","MARICOPA"
"155","04015",42.8748312979441,436,590.4,"CHICKENS","LAYERS","HEAD","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","015","MOHAVE"
"156","04017",217.405567413317,1517,642.88,"CHICKENS","BROILERS","HEAD","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","017","NAVAJO"
"157","04019",189.770468978214,1357,672.4,"CHICKENS","LAYERS","HEAD","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","019","PIMA"
"158","04021",28.1600104326481,230,196.8,"CHICKENS","LAYERS","HEAD","CHICKENS, LAYERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","021","PINAL"
"159","04025",280.291524087143,10382,29378.96,"CHICKENS","ROOSTERS","HEAD","CHICKENS, ROOSTERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","025","YAVAPAI"
"160","04027",0.392513040810064,75,246,"CHICKENS","BROILERS","HEAD","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","04","AZ","ARIZONA","027","YUMA"
"161","08001",298.917913715864,2458,2145.12,"CHICKENS","PULLETS, REPLACEMENT","HEAD","CHICKENS, PULLETS, REPLACEMENT - SALES, MEASURED IN HEAD","08","CO","COLORADO","001","ADAMS"
"162","08005",96.5312602638846,1296,2394.4,"CHICKENS","BROILERS","HEAD","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","08","CO","COLORADO","005","ARAPAHOE"
"163","08007",18.4853434182264,169,190.24,"CHICKENS","BROILERS","HEAD","CHICKENS, BROILERS - SALES, MEASURED IN HEAD","08","CO","COLORADO","007","ARCHULETA"
