"","SECTOR_DESC","SHORT_DESC","COMMODITY_DESC","AGG_LEVEL_DESC","STATE_FIPS_CODE","STATE_ALPHA","STATE_NAME","COUNTY_CODE","COUNTY_NAME","To_acres","fips","crop","Ir_acres","Pct_irr"
"181","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","003","BOX ELDER",55656,"49003","WHEAT, WINTER",15522,27.89
"182","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","005","CACHE",15887,"49005","WHEAT, WINTER",6007,37.81
"183","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","011","COLUSA",6669,"06011","WHEAT, WINTER",3917,58.73
"184","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","019","FRESNO",25851,"06019","WHEAT, WINTER",12898,49.89
"185","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","021","GLENN",2899,"06021","WHEAT, WINTER",692,23.87
"186","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","029","KERN",11097,"06029","WHEAT, WINTER",7575,68.26
"187","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","031","KINGS",12245,"06031","WHEAT, WINTER",7092,57.92
"188","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",49,"UT","UTAH","039","SANPETE",673,"49039","WHEAT, WINTER",478,71.03
"189","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","047","MERCED",10572,"06047","WHEAT, WINTER",8879,83.99
"190","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","077","SAN JOAQUIN",9642,"06077","WHEAT, WINTER",6953,72.11
"191","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",8,"CO","COLORADO","083","MONTEZUMA",15618,"08083","WHEAT, WINTER",10452,66.92
"192","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","107","TULARE",15480,"06107","WHEAT, WINTER",4089,26.41
"193","CROPS","WHEAT, WINTER - ACRES HARVESTED","WHEAT","COUNTY",6,"CA","CALIFORNIA","113","YOLO",23704,"06113","WHEAT, WINTER",13731,57.93
"194","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",8,"CO","COLORADO","003","ALAMOSA",380,"08003","OATS",380,100
"195","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",49,"UT","UTAH","013","DUCHESNE",163,"49013","OATS",163,100
"196","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",8,"CO","COLORADO","021","CONEJOS",1268,"08021","OATS",1268,100
"197","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",6,"CA","CALIFORNIA","029","KERN",1392,"06029","OATS",1392,100
"198","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",49,"UT","UTAH","029","MORGAN",50,"49029","OATS",50,100
"199","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",49,"UT","UTAH","035","SALT LAKE",102,"49035","OATS",102,100
"200","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",6,"CA","CALIFORNIA","039","MADERA",191,"06039","OATS",191,100
"201","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",49,"UT","UTAH","039","SANPETE",401,"49039","OATS",162,40.4
"202","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",6,"CA","CALIFORNIA","047","MERCED",918,"06047","OATS",744,81.05
"203","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",49,"UT","UTAH","047","UINTAH",50,"49047","OATS",50,100
"204","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",49,"UT","UTAH","049","UTAH",288,"49049","OATS",259,89.93
"205","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",35,"NM","NEW MEXICO","055","TAOS",330,"35055","OATS",330,100
"206","CROPS","OATS - ACRES HARVESTED","OATS","COUNTY",8,"CO","COLORADO","077","MESA",260,"08077","OATS",260,100
